size(bytes),latency(us)
2,370.651
4,299.355
8,238.492
16,241.234
32,244.724
64,255.759
128,230.099
256,236.657
512,251.532
1024,229.884
2048,245.748
4096,265.576
8192,285.228
16384,296.532
32768,333.952
65536,327.176
