size(bytes),latency(us)
2,32.839
4,36.755
8,27.043
16,26.817
32,26.922
64,27.476
128,32.777
256,34.972
512,41.723
1024,49.428
2048,12.018
4096,17.777
8192,31.284
16384,56.237
32768,117.833
