testGroup,phase,iterations,pid,timestamp,time,latency
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700978998,23:29:38.998,4
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979000,23:29:39.000,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979002,23:29:39.002,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979004,23:29:39.004,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979006,23:29:39.006,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979008,23:29:39.008,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979010,23:29:39.010,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979012,23:29:39.012,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979014,23:29:39.014,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979016,23:29:39.016,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979028,23:29:39.028,12
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979031,23:29:39.031,3
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979043,23:29:39.043,12
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979045,23:29:39.045,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979047,23:29:39.047,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979049,23:29:39.049,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979052,23:29:39.052,3
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979055,23:29:39.055,3
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979057,23:29:39.057,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979059,23:29:39.059,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979061,23:29:39.061,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979063,23:29:39.063,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979065,23:29:39.065,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979067,23:29:39.067,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979069,23:29:39.069,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979071,23:29:39.071,2
pingAllIntermediate,full-load,100,/172.17.63.17_0,1522700979073,23:29:39.073,2
