testGroup,phase,iterations,pid,timestamp,time,latency
pingSingle,N/A,-1,p1g4,1522690203405,20:30:03.405,149
pingSingle,N/A,-1,p0g4,1522690203438,20:30:03.438,30
pingSingle,N/A,-1,p2g4,1522690203652,20:30:03.652,101
pingSingle,N/A,-1,p3g4,1522690203672,20:30:03.672,86
pingSingle,N/A,-1,p1g4,1522690203705,20:30:03.705,10
pingSingle,N/A,-1,p0g4,1522690203711,20:30:03.711,13
pingSingle,N/A,-1,p2g4,1522690203711,20:30:03.711,13
pingSingle,N/A,-1,p3g4,1522690203737,20:30:03.737,17
pingSingle,N/A,-1,p1g4,1522690203756,20:30:03.756,4
pingSingle,N/A,-1,p0g4,1522690203766,20:30:03.766,15
pingSingle,N/A,-1,p2g4,1522690203768,20:30:03.768,4
pingSingle,N/A,-1,p3g4,1522690203804,20:30:03.804,19
pingSingle,N/A,-1,p1g4,1522690203820,20:30:03.820,7
pingSingle,N/A,-1,p0g4,1522690203861,20:30:03.861,40
pingSingle,N/A,-1,p2g4,1522690203863,20:30:03.863,39
pingSingle,N/A,-1,p3g4,1522690203884,20:30:03.884,52
pingSingle,N/A,-1,p1g4,1522690203922,20:30:03.922,20
pingSingle,N/A,-1,p0g4,1522690203926,20:30:03.926,21
pingSingle,N/A,-1,p2g4,1522690203931,20:30:03.931,12
pingSingle,N/A,-1,p3g4,1522690203936,20:30:03.936,14
pingSingle,N/A,-1,p0g4,1522690203942,20:30:03.942,2
pingSingle,N/A,-1,p1g4,1522690203951,20:30:03.951,10
pingSingle,N/A,-1,p2g4,1522690203974,20:30:03.974,23
pingSingle,N/A,-1,p3g4,1522690203975,20:30:03.975,10
pingSingle,N/A,-1,p0g4,1522690203981,20:30:03.981,3
pingSingle,N/A,-1,p1g4,1522690203982,20:30:03.982,3
pingSingle,N/A,-1,p2g4,1522690204008,20:30:04.008,9
pingSingle,N/A,-1,p3g4,1522690204012,20:30:04.012,7
pingSingle,N/A,-1,p0g4,1522690204017,20:30:04.017,2
pingSingle,N/A,-1,p1g4,1522690204034,20:30:04.034,10
pingSingle,N/A,-1,p2g4,1522690204055,20:30:04.055,9
pingSingle,N/A,-1,p3g4,1522690204058,20:30:04.058,13
pingSingle,N/A,-1,p0g4,1522690204063,20:30:04.063,2
pingSingle,N/A,-1,p1g4,1522690204067,20:30:04.067,4
pingSingle,N/A,-1,p2g4,1522690204089,20:30:04.089,10
pingSingle,N/A,-1,p3g4,1522690204094,20:30:04.094,8
pingSingle,N/A,-1,p0g4,1522690204099,20:30:04.099,2
pingSingle,N/A,-1,p1g4,1522690204109,20:30:04.109,8
pingSingle,N/A,-1,p3g4,1522690204130,20:30:04.130,6
pingSingle,N/A,-1,p2g4,1522690204130,20:30:04.130,11
pingSingle,N/A,-1,p0g4,1522690204135,20:30:04.135,2
pingSingle,N/A,-1,p1g4,1522690204156,20:30:04.156,3
pingSingle,N/A,-1,p2g4,1522690204158,20:30:04.158,12
pingSingle,N/A,-1,p3g4,1522690204168,20:30:04.168,17
pingSingle,N/A,-1,p0g4,1522690204181,20:30:04.181,11
pingSingle,N/A,-1,p1g4,1522690204206,20:30:04.206,13
pingSingle,N/A,-1,p2g4,1522690204211,20:30:04.211,12
pingSingle,N/A,-1,p3g4,1522690204218,20:30:04.218,13
pingSingle,N/A,-1,p0g4,1522690204221,20:30:04.221,2
pingSingle,N/A,-1,p1g4,1522690204225,20:30:04.225,2
pingSingle,N/A,-1,p2g4,1522690204246,20:30:04.246,7
pingSingle,N/A,-1,p3g4,1522690204247,20:30:04.247,2
pingSingle,N/A,-1,p0g4,1522690204253,20:30:04.253,0
pingSingle,N/A,-1,p1g4,1522690204261,20:30:04.261,4
pingSingle,N/A,-1,p2g4,1522690204282,20:30:04.282,3
pingSingle,N/A,-1,p3g4,1522690204293,20:30:04.293,23
pingSingle,N/A,-1,p0g4,1522690204296,20:30:04.296,1
pingSingle,N/A,-1,p1g4,1522690204300,20:30:04.300,2
pingSingle,N/A,-1,p2g4,1522690204320,20:30:04.320,1
pingSingle,N/A,-1,p3g4,1522690204326,20:30:04.326,17
pingSingle,N/A,-1,p0g4,1522690204365,20:30:04.365,9
pingSingle,N/A,-1,p1g4,1522690204375,20:30:04.375,14
pingSingle,N/A,-1,p2g4,1522690204391,20:30:04.391,25
pingSingle,N/A,-1,p3g4,1522690204404,20:30:04.404,27
pingSingle,N/A,-1,p0g4,1522690204406,20:30:04.406,1
pingSingle,N/A,-1,p1g4,1522690204409,20:30:04.409,3
pingSingle,N/A,-1,p3g4,1522690204434,20:30:04.434,9
pingSingle,N/A,-1,p2g4,1522690204441,20:30:04.441,22
pingSingle,N/A,-1,p0g4,1522690204458,20:30:04.458,5
pingSingle,N/A,-1,p1g4,1522690204464,20:30:04.464,1
pingSingle,N/A,-1,p2g4,1522690204486,20:30:04.486,9
pingSingle,N/A,-1,p3g4,1522690204492,20:30:04.492,14
pingSingle,N/A,-1,p0g4,1522690204495,20:30:04.495,1
pingSingle,N/A,-1,p1g4,1522690204496,20:30:04.496,1
pingSingle,N/A,-1,p3g4,1522690204525,20:30:04.525,17
pingSingle,N/A,-1,p2g4,1522690204526,20:30:04.526,11
pingSingle,N/A,-1,p0g4,1522690204529,20:30:04.529,1
pingSingle,N/A,-1,p1g4,1522690204531,20:30:04.531,2
pingSingle,N/A,-1,p3g4,1522690204552,20:30:04.552,1
pingSingle,N/A,-1,p2g4,1522690204559,20:30:04.559,18
pingSingle,N/A,-1,p0g4,1522690204562,20:30:04.562,1
