size(bytes),latency(us)
2,30.240
4,30.829
8,30.283
16,34.811
32,29.866
64,30.493
128,32.888
256,35.272
512,40.219
1024,49.938
2048,73.622
4096,232.063
8192,236.117
16384,240.774
32768,416.689
65536,870.544
