size(bytes),latency(us)
2,178.700
4,146.801
8,140.121
16,153.047
32,220.100
64,138.000
128,132.813
256,134.750
512,133.221
1024,154.668
2048,185.960
4096,219.720
8192,251.164
16384,353.473
32768,475.779
65536,714.006
